SMILES,Hit_Miss,MolLogP,TPSA,FractionCSP3,HeavyAtomMolWt,LabuteASA,HallKierAlpha,BertzCT,Chi0n,Chi4n,NumAromaticRings,NumAliphaticRings,NumRotatableBonds,NumHeteroatoms,NumHDonors,NumHAcceptors,EState_VSA3,RadiusOfGyration,PMI1,PMI2,PMI3,InertialShapeFactor,Asphericity,SpherocityIndex
C/C(=N\NC(=O)Cc1cc(O)[nH]n1)c1cccc([N+](=O)[O-])c1,1,1.1064000000000003,133.51,0.15384615384615385,290.17400000000004,124.3695800179557,-3.23,707.1444705582192,11.6074573805261,1.7013100679167965,2.0,0.0,5.0,9.0,3.0,6.0,16.969064489316157,4.218330603914484,929.6035456927397,4847.110047953735,5016.533773284629,0.001039396782266445,0.5507323692383006,0.2339355592603997
C/C(=N\NC(=O)c1cccc(Cl)c1)C1C(=O)c2ccccc2C1=O,0,3.1411000000000016,75.6,0.1111111111111111,327.6620000000001,142.87547207512753,-2.789999999999999,826.1119783901041,12.74607536260741,2.620125698141806,2.0,1.0,3.0,6.0,1.0,4.0,21.71298778883231,4.63518412809113,885.4894307080605,6714.5896129672,7042.589564886927,0.0010767223144404685,0.6715790542736756,0.12383441821085614
C/C(=N\NC(=O)c1ccncc1)c1cc2ccccc2oc1=O,1,2.3420000000000005,84.56,0.058823529411764705,294.205,131.02781789523226,-3.2799999999999994,920.9144680727951,12.315324485098142,2.0768345173914673,3.0,0.0,3.0,6.0,1.0,5.0,22.421608127806934,4.3190764940997415,663.5669531286936,5149.4678804087725,5652.308560908721,0.001372940582090661,0.6886616545292925,0.07075849590920591
C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1ccc(Br)s1,0,4.6983000000000015,61.69,0.07692307692307693,363.57899999999995,132.76557731362826,-1.3699999999999994,650.4278760299161,10.353604063894226,1.470957830570199,2.0,0.0,4.0,7.0,2.0,4.0,5.687386274683562,4.433458751138121,1229.3619187694324,6152.256238332895,7307.333013902309,0.0006848504721351209,0.5794335547216577,0.03259375062453121
C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,1,0.39120000000000094,125.22000000000003,0.375,342.20600000000013,149.1475231626748,-3.3000000000000003,705.3087878704011,14.252381086200018,2.41838352656131,1.0,1.0,6.0,10.0,1.0,6.0,31.890710626421004,5.22817437626371,708.4841494528642,9396.204317353373,9649.891416050667,0.0013743580381059145,0.7968851863668861,0.11124144007741438
C/C(CC(=O)NCc1ccco1)=N\NC(=O)c1ccc([N+](=O)[O-])cc1Cl,1,2.6534000000000004,126.84,0.1875,363.65200000000004,152.7169482987977,-3.2,809.7281340007353,13.69194829383931,1.94141273144845,2.0,0.0,7.0,10.0,2.0,6.0,11.471932421645144,4.582167860983452,1625.917601486228,6784.583642621097,7495.091288403107,0.0005567339960189259,0.4866941271030639,0.17696960435016368
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)C(=O)NC(C)C,1,0.7353199999999999,112.54999999999998,0.4,298.19700000000006,134.30008360146007,-2.7700000000000005,596.2192548759078,13.635679920336559,1.5881685011972502,1.0,0.0,5.0,8.0,3.0,5.0,11.52954778060573,5.028749803322825,778.9709979207494,7640.860547922491,7732.580015962907,0.0012685177896934663,0.7316709311525463,0.15054670739536136
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)COc1cccc(C)c1,1,2.598140000000001,92.67999999999999,0.2631578947368421,332.23400000000015,152.029454524586,-3.2199999999999998,789.1905390647505,15.074837509091985,2.107521730514223,2.0,0.0,7.0,7.0,2.0,5.0,17.279059613889636,5.445093527741318,867.4278157385646,9768.427224240528,10379.979992014165,0.0010849126783166894,0.7702231878140373,0.06321601231890574
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccc(C)cc1,0,2.8329400000000016,83.44999999999999,0.2222222222222222,304.2240000000001,140.55096718068248,-3.0199999999999996,741.8627076208168,13.959482437441574,1.979145644735253,2.0,0.0,5.0,6.0,2.0,4.0,17.092999272302727,5.148311091304094,590.1260983643518,8168.733316386205,8436.805903660133,0.0016407100498292946,0.8054189826691344,0.08277115052017145
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1,1,2.8329400000000016,83.44999999999999,0.2222222222222222,304.2240000000001,140.55096718068248,-3.0199999999999996,759.1127076208168,13.959482437441574,2.060511812516499,2.0,0.0,5.0,6.0,2.0,4.0,17.092999272302727,5.080789981044944,612.1403964203585,7966.09534680522,8169.338323384359,0.0015929699289379037,0.7931596620909954,0.10079013418827855
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(F)c1,0,2.6636200000000008,83.44999999999999,0.17647058823529413,311.21100000000007,138.3515604692121,-3.0899999999999994,759.1127076208168,13.3374469104508,1.9039285747391244,2.0,0.0,5.0,7.0,2.0,4.0,11.52954778060573,4.201226015043994,1568.5573902301153,4340.100595472659,5682.1881418581615,0.0004869493304850616,0.39307864502565065,0.08466081079700347
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccccc1C,1,2.8329400000000016,83.44999999999999,0.2222222222222222,304.2240000000001,140.5509671806825,-3.0199999999999996,759.1127076208168,13.959482437441574,2.0975500536761302,2.0,0.0,5.0,6.0,2.0,4.0,17.092999272302727,4.296439791840642,1423.175937194479,4942.948547875951,5609.740215623934,0.0006191341336957094,0.42337816401982326,0.2618264561994947
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccncc1,1,1.91952,96.33999999999999,0.1875,294.20900000000006,133.40567304723234,-3.09,701.8279864213871,12.906696032941532,1.7774985913645849,2.0,0.0,5.0,7.0,2.0,5.0,17.092999272302727,4.90816669830583,545.5095408882497,7111.158796183416,7343.996242620679,0.0017750295198898523,0.7944308021293017,0.09972427831919281
C/C(CC(=O)Nc1ccc(Cl)cn1)=N\NC(=O)Cc1cccs1,1,2.8599000000000006,83.44999999999999,0.2,335.71100000000007,142.12965456357904,-2.2499999999999996,663.3382068695005,12.375451712911586,1.6774054341270328,2.0,0.0,6.0,8.0,2.0,5.0,16.552181094347056,5.162732408069569,817.9332202592218,8744.274819663358,9139.75472764429,0.0011696917041657887,0.7561454652724481,0.13071703430394174
C/C(CC(=O)Nc1ccc(F)cc1)=N\NC(=O)COc1ccccc1,1,2.7254000000000014,79.79,0.16666666666666666,325.2140000000001,144.24545771777247,-3.2199999999999998,714.393444402728,13.660288924980506,1.8659487476822731,2.0,0.0,7.0,7.0,2.0,4.0,17.14858311073817,4.6700162228737785,1391.4451337199991,6238.42989264592,7346.749598550088,0.0006102586931502427,0.5366694329927721,0.11866271577168377
C/C(CC(=O)Nc1ccc(F)cc1F)=N\NC(=O)C(=O)N1CCCCC1,1,1.7980000000000003,90.86999999999999,0.4117647058823529,346.20800000000014,148.98058887382876,-2.8400000000000007,692.7485374481232,14.349792503098126,2.491766384305373,1.0,1.0,4.0,9.0,2.0,4.0,19.15587988028676,4.876352277527708,1584.466831270777,7357.939208786328,8481.18520852268,0.0005475408122490113,0.541267373574201,0.11205249980314015
C/C(CC(=O)Nc1ccccc1[N+](=O)[O-])=N\NC(=O)COc1ccccc1C,1,2.802920000000001,122.92999999999999,0.21052631578947367,364.2320000000002,161.09784015174264,-3.75,876.4162532480202,15.468684359209337,2.2565615617979873,2.0,0.0,8.0,9.0,2.0,6.0,11.461196836054608,5.0726178025338795,1620.4922625850543,8888.23341255793,9273.20243533978,0.0005914782083676418,0.5700240303051132,0.24420494336295942
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)Cc1cccc2ccccc12,1,3.2982000000000014,83.44999999999999,0.14285714285714285,340.2570000000002,156.86768959802103,-3.539999999999999,952.259574061379,14.975990295386627,2.7125538973824805,3.0,0.0,6.0,6.0,2.0,4.0,11.52954778060573,4.844632867781792,930.1934720640188,7923.609627799013,8064.507959121006,0.0010562626149549109,0.6975259543542713,0.17782939712355383
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccc(C)cc1,0,2.5245200000000008,83.44999999999999,0.17647058823529413,292.2130000000001,134.18602506628585,-3.0199999999999996,684.5779864213871,13.0368327066312,1.811316000338363,2.0,0.0,5.0,6.0,2.0,4.0,17.092999272302727,4.1564651105874635,1144.865068314559,4324.9681122809825,5253.747401415473,0.0007190505404426828,0.4845177031694631,0.0905053288144395
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1cccc(C)c1,1,2.5245200000000008,83.44999999999999,0.17647058823529413,292.2130000000001,134.18602506628585,-3.0199999999999996,701.8279864213871,13.0368327066312,1.8926821681196087,2.0,0.0,5.0,6.0,2.0,4.0,17.092999272302727,4.802511277924929,770.2598403156982,6672.256855071097,6873.702118669057,0.001260215432963044,0.7038273366083926,0.14365058639513673
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccncc1,1,1.6111,96.33999999999999,0.13333333333333333,282.19800000000004,127.04073093283576,-3.09,644.9523704137114,11.984046302131159,1.609668946967695,2.0,0.0,5.0,7.0,2.0,5.0,17.092999272302727,4.657933402074145,674.4206167057182,6085.185326771856,6141.821016463983,0.0014690812478797572,0.7110024731329986,0.20694999327497177
C/C(CC(=O)Nc1cccnc1)=N\NC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,1,2.7777000000000003,126.59,0.125,361.66,152.77732490127073,-3.33,831.5969617513241,13.601157086878485,1.9207267605362448,2.0,0.0,6.0,10.0,2.0,6.0,11.399071277454265,5.053429360625399,1313.4928991587187,8565.6837494705,9313.113935473455,0.0007002278672005396,0.6360731004459762,0.1322452020387731
C/C(CCC(=O)Nc1ccc(F)cc1)=N\NC(=O)c1ccc(-n2cccc2)cc1,1,4.141000000000003,75.49000000000001,0.13636363636363635,371.2660000000002,167.60813860193923,-3.7399999999999993,961.5322817492012,15.931305037585478,2.6093848637283954,3.0,0.0,7.0,7.0,2.0,4.0,23.38334439207727,4.883525877227468,2473.862399567573,7086.323804029779,9157.993371440494,0.0003127844316323948,0.4009713868932471,0.12181210999042126
C/C(Cl)=C/Cn1c(SC(C)C)nc2c1c(=O)[nH]c(=O)n2C,0,2.0664,72.68,0.46153846153846156,311.689,130.3804693235997,-1.4699999999999998,777.7782468503511,12.306157450466491,1.901837064999406,2.0,0.0,4.0,8.0,1.0,6.0,33.147295208213045,3.5786115726966083,1978.4804041450845,2397.913163503705,4045.77536973598,0.0002995711126832786,0.20202414321583212,0.21087859423017472
C/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(C2CCCCC2)C1=O,0,1.3116999999999999,127.84,0.3684210526315789,364.23200000000014,161.29426366104374,-3.3600000000000003,823.3492132102906,15.44970560473624,3.4772254301486933,1.0,2.0,4.0,9.0,4.0,6.0,12.841643245852019,4.773540056568377,1055.23830440882,7946.663926492578,8608.012270314377,0.0008748456199430182,0.6770102981703741,0.10499755579985097
C/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,0,1.1792,127.84,0.1,376.24300000000017,165.5324784486539,-4.14,981.7081965518817,15.430679556748553,2.7377039433395876,2.0,1.0,5.0,9.0,4.0,6.0,5.563451491696996,4.679696159223419,1469.973749314485,7691.114277159235,8112.712470389215,0.0006449315172155803,0.5563720651491288,0.24834787460458874
C/C=C(/C)C(=O)OC(C)(C)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1,1,3.384500000000002,65.74000000000001,0.3684210526315789,308.204,139.4220060925951,-2.56,870.5367199792107,14.212449848643619,2.746783258844251,2.0,1.0,3.0,5.0,0.0,5.0,23.326458127921427,4.227332289658178,742.3693601116452,5251.175950979554,5742.4062115763,0.0012318068667646351,0.6617318834907373,0.12044458013018075
C/C=C(\C)[C@@H]1C(C)=C[C@@H]2CC(C)=CC[C@H]2[C@@H]1/C=C/C=C(\C)[C@@H](O)[C@@H](C)C(=O)O,1,5.7015000000000065,57.53,0.56,348.2720000000001,169.7881739098042,-1.8699999999999997,721.1372703609898,18.145092274112386,4.795419511177583,0.0,2.0,6.0,3.0,2.0,2.0,29.24472871471484,4.600445845599961,1742.704206747798,6826.424890894934,7708.605015905752,0.00050815223885217,0.46960555249888997,0.21162944991864302
C/C=C(\C)c1cc(O)c(C)c(OC(=O)c2c(/C(C)=C/C)cc(O)c(C)c2O)c1,0,5.485840000000007,86.99000000000001,0.2608695652173913,356.2480000000001,164.78142310569388,-3.2099999999999995,977.8283953280071,17.044888713375727,2.7508213942432747,2.0,0.0,4.0,5.0,3.0,5.0,16.70000751346326,4.145376011741227,1997.8456356805887,5120.417510508718,6026.0934925106585,0.0004253119443806118,0.31020254909402156,0.31244673451266985
