SMILES,Hit_Miss,MolLogP,TPSA,MolWt,NumRotatableBonds,HallKierAlpha,FractionCSP3,RingCount,NumHDonors,NumHAcceptors
C/C(CC(=O)Nc1ccc(F)cc1)=N\NC(=O)COc1ccccc1,1,2.7254000000000014,79.79,343.35800000000006,7.0,-3.2199999999999998,0.16666666666666666,2.0,2.0,4.0
C/C(CC(=O)Nc1ccc(F)cc1F)=N\NC(=O)C(=O)N1CCCCC1,1,1.7980000000000003,90.86999999999999,366.3680000000002,4.0,-2.8400000000000007,0.4117647058823529,2.0,2.0,4.0
C/C(CC(=O)Nc1ccccc1[N+](=O)[O-])=N\NC(=O)COc1ccccc1C,1,2.802920000000001,122.92999999999999,384.39200000000017,8.0,-3.75,0.21052631578947367,2.0,2.0,6.0
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)Cc1cccc2ccccc12,1,3.2982000000000014,83.44999999999999,360.4170000000001,6.0,-3.539999999999999,0.14285714285714285,3.0,2.0,4.0
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccc(C)cc1,0,2.5245200000000008,83.44999999999999,310.3570000000001,5.0,-3.0199999999999996,0.17647058823529413,2.0,2.0,4.0
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1cccc(C)c1,1,2.5245200000000008,83.44999999999999,310.3570000000001,5.0,-3.0199999999999996,0.17647058823529413,2.0,2.0,4.0
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccncc1,1,1.6111,96.33999999999999,297.31800000000004,5.0,-3.09,0.13333333333333333,2.0,2.0,5.0
C/C(CC(=O)Nc1cccnc1)=N\NC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,1,2.7777000000000003,126.59,375.77200000000016,6.0,-3.33,0.125,2.0,2.0,6.0
C/C(CCC(=O)Nc1ccc(F)cc1)=N\NC(=O)c1ccc(-n2cccc2)cc1,1,4.141000000000003,75.49000000000001,392.4340000000001,7.0,-3.7399999999999993,0.13636363636363635,3.0,2.0,4.0
C/C(Cl)=C/Cn1c(SC(C)C)nc2c1c(=O)[nH]c(=O)n2C,0,2.0664,72.68,328.82500000000005,4.0,-1.4699999999999998,0.46153846153846156,2.0,1.0,6.0
C/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(C2CCCCC2)C1=O,0,1.3116999999999999,127.84,386.4080000000003,4.0,-3.3600000000000003,0.3684210526315789,3.0,4.0,6.0
C/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,0,1.1792,127.84,394.38700000000017,5.0,-4.14,0.1,3.0,4.0,6.0
C/C=C(/C)C(=O)OC(C)(C)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1,1,3.384500000000002,65.74000000000001,328.3640000000001,3.0,-2.56,0.3684210526315789,3.0,0.0,5.0
C/C=C(\C)[C@@H]1C(C)=C[C@@H]2CC(C)=CC[C@H]2[C@@H]1/C=C/C=C(\C)[C@@H](O)[C@@H](C)C(=O)O,1,5.7015000000000065,57.53,384.5600000000001,6.0,-1.8699999999999997,0.56,2.0,2.0,2.0
C/C=C(\C)c1cc(O)c(C)c(OC(=O)c2c(/C(C)=C/C)cc(O)c(C)c2O)c1,0,5.485840000000007,86.99000000000001,382.4560000000001,4.0,-3.2099999999999995,0.2608695652173913,2.0,3.0,5.0
C/C=C/C(C)=C/[C@@]1(C)SC(O)=C(C)C1=O,0,3.3729000000000013,37.3,224.32499999999996,2.0,-0.96,0.4166666666666667,1.0,1.0,3.0
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Cc1cccnc1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,0,2.584400000000001,100.03999999999999,487.6220000000002,7.0,-2.75,0.44,3.0,1.0,6.0
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1ccc(F)cc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,1,3.791300000000003,99.18,505.6120000000002,6.0,-2.9499999999999993,0.4,3.0,2.0,5.0
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1ccc(OC)cc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,1,3.660800000000003,108.41,517.6480000000003,7.0,-3.0799999999999996,0.4230769230769231,3.0,2.0,6.0
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1ccccc1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,1,3.6522000000000028,99.18,487.6220000000002,6.0,-2.8799999999999994,0.4,3.0,2.0,5.0
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccc3c(c1)OCO3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,1,2.9892000000000025,105.60999999999999,516.6160000000003,6.0,-3.08,0.4230769230769231,4.0,1.0,7.0
